Modelo,Balanceo,ROC,GINI
GLM,sin SMOTE,0.8065827432467874,0.6131654864935747
Boosting,sin SMOTE,0.9101663482072608,0.8203326964145217
DeepLearning,sin SMOTE,0.907806002023154,0.815612004046308
RandomForest,sin SMOTE,0.9128826196096063,0.8257652392192125
AutoML,sin SMOTE,0.9076186729609232,0.8152373459218465
GLM,con SMOTE,0.8020400134876925,0.604080026975385
Boosting,con SMOTE,0.9097542242703534,0.8195084485407067
DeepLearning,con SMOTE,0.9121145704544602,0.8242291409089204
RandomForest,con SMOTE,0.8956483458843806,0.7912966917687612
AutoML,con SMOTE,0.9076186729609232,0.8152373459218465
